,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
214,ORGANIZATOR DELA V PLC - M/Ž,21. 02. 2021,LJUBLJANA,"POŠTA SLOVENIJE d.o.o., poslovna enota Poštni logistični center",https://www.iskanjedela.si/search-jobs?jobId=2653394&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"ORGANIZIRANJE, USKLAJEVANJE, KONTROLIRANJE IN ODLOČANJE O DELU ORGANIZACIJSKE ENOTE, ORGANIZIRANJE IN KONTROLIRANJE POŠTNEGA PROMETA TER BLAGOVNIH IN LOGISTIČNIH PROCESOV, REŠEVANJE REKLAMACIJ IN NEPRAVILNOSTI, PRIPRAVLJNAJE POROČIL IN EVIDENC S P...",11.02.2021,Osrednjeslovenska,iskanjedela.si
215,Strokovni sodelavec v kontrolingu m/ž,19.3.2021,Okolica Novega mesta,Workforce d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovni-sodelavec-v-kontrolingu-mz-755234-755234/,"Za našega naročnika, uspešno proizvodno podjetje s področja avtomobilske industrije iz okolice Novega mesta z željo po širitvi ekipe, vabi v svoj kolektiv novega sodelavca, ki bo zapolnil delovno mesto Strokovni sodelavec v kontrolingu m/ž.",17.2.2021,Jugovzhodna Slovenija,optius.com
216,STROJNIK- VOZNIK - M/Ž,20. 02. 2021,LJUBLJANA,"KRIŽMAN TRGOVSKO, STORITVENO IN PROIZVODNO PODJETJE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2651878&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"IZVAJANJE DEL PRI REDNEM LETNEM IN ZIMSKEM VZDRŽEVANJU CEST IN ZELENIH POVRŠIN. IZVAJANJE DEL PRI NIZKIH GRADNJAH. DELO Z BAGROM IN PRIKLJUČKI, VOŽNJA TOVORNEGA VOZILA IN TRAKTORJA S PRIKLJUČKI, DELO Z ROČNIM ORODJEM. ",05.02.2021,Osrednjeslovenska,iskanjedela.si
217,"STROKOVNI SODELAVEC VII/I (JO17135) V PROJEKTNI ENOTI BREKA2, PROGRAM LAS - M/Ž",24. 02. 2021,NOVA GORICA,VRTEC NOVA GORICA,https://www.iskanjedela.si/search-jobs?jobId=2656382&RECENCY=TODAY&STATE=Gori%C5%A1ka,IZVAJANJE PRIPRAV NA VZGOJNO-VARSTVENO DELO NEPOSREDNO IZVAJANJE VZGOJNO-VARSTVENEGA DELA OPRAVLJANJE DRUGEGA DELA V ZVEZI Z VZGOJNO-IZOBRAŽEVALNIM DELOM V SKLADU Z LETNIM DELOVNIM NAČRTOM OPRAVLJANJE DRUGIH NALOG DOLOČENIH Z LETNIM DELOVNIM NAČRT...,19.02.2021,Goriška,iskanjedela.si
218,Kontrolor produktnih skupin (m/ž),28.02.2021,Ljubljana,HELLA Saturnus Slovenija d.o.o.,https://www.deloglasnik.si/Zaposlitev/279773/Kontrolor-produktnih-skupin-mz/,"  - priprava in spremljanje načrtovanja prodaje, prometa, investicij in povračil stroškov za določeno področje dejavnosti - zagotavljanje pravilnosti in zanesljivost vseh operativnih ocen in ključnih kazalnikov uspešnosti v zadevni organizacijski ...",12.02.2021,Osrednjeslovenska,deloglasnik.si
219,RAČUNOVODJA VI - M/Ž,02. 02. 2021,LJUBLJANA,OBČINA ŠKOFLJICA,https://www.iskanjedela.si/search-jobs?jobId=2647800&STATE=Osrednjeslovenska,"VODNJE POSLOVNIH KNJIG, USKLAJEVANJE ANALITIČNE IN SINTETIČNE EVIDENCE, PRIPRAVLJANJE LETNIH POROČIL ",25.01.2021,Osrednjeslovenska,iskanjedela.si
220,Delavec v proizvodnji (m/ž),26.02.2021,Mokronog,WORKFORCE d.o.o.,https://www.deloglasnik.si/Zaposlitev/279815/Delavec-v-proizvodnji-mz/,"  Za našega naročnika, ki se ukvarja s proizvodnjo elementov za obvladovanje celotne funkcije čiščenja vetrobranskih stekel in žarometov pri avtomobilih, iščemo zanesljive in resne kandidate za delo v proizvodnji za delovno mesto:   Delavec za pih...",12.02.2021,Jugovzhodna Slovenija,deloglasnik.si
221,Višji referent za obratovanje (m/ž),/,"DE Ljubljana okolica, lokacija Domžale","ELEKTRO LJUBLJANA, podjetje za distribucijo električne energije, d.d.",https://www.mojedelo.com/visji-referent-za-obratovanje-mz/d-516260,"Vaše naloge bodo: organiziranje dela pri vzdrževanju in odpravljanju napak na omrežju, posredovanje informacij, sodelovanje pri pripravi operativnih načrtov..",15.2.2021,Gorenjska,mojedelo.com
222,Proizvodni delavec (m/ž) v okolici Ljubljane,/,Škofljica,Trenkwalder d.o.o.,https://www.mojedelo.com/proizvodni-delavec-mz-v-okolici-ljubljane/d-514871,"Iščete dolgoročno zaposlitev in dinamično delo v prijetnem kolektivu? Potem je ta karierna priložnost prava za vas! Pridružite se uspešnemu slovenskemu podjetju, ki proizvaja izdelke iz umetnih mas.",29.1.2021,Jugovzhodna Slovenija,mojedelo.com
223,"SREDNJA MEDICINSKA SESTRA V INTENZIVNI NEGI (E0350120) ZA POTREBE INTERNE KLINIKE, KO ZA KARDIOLOGIJO - M/Ž",29. 01. 2021,LJUBLJANA,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,https://www.iskanjedela.si/search-jobs?jobId=2647060&STATE=Osrednjeslovenska,- IZVAJANJE PROCESA ZDRAVSTVENE NEGE PACIENTOV V INTENZIVNI NEGI IN SODELOVANJE V PROCESU ZDRAVLJENJA V OKVIRU ZDRAVSTVENEGA TIMA - IZVAJANJE MANJ ZAHTEVNIH IN SODELOVANJE PRI IZVAJANJU ZAHTEVNEJŠIH DIAGNOSTIČNO-TERAPEVTSKIH POSEGOV IN POSTOPKOV -...,21.01.2021,Osrednjeslovenska,iskanjedela.si
224,POMOŽNI ELEKTROMONTER - M/Ž,15. 02. 2021,LJUBLJANA,"EAP, elektroinstalacije, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652495&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,POMOČ PRI IZVAJANJU ELEKTROMONTERSKIH IN ELEKTROMONTAŽNIH DEL ,10.02.2021,Osrednjeslovenska,iskanjedela.si
