,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
6197,Strokovnjak za vitko proizvodnjo (m/ž) v okolici Ljubljane,26.2.2021,Kranj,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/strokovnjak-za-vitko-proizvodnjo-mz-v-okolici-ljubljane-752788-752788/,"Ste vedno na preži za strategijami, ki vplivajo na krajšanje proizvodnih časov in nižanje stroškov? Stremite h kontinuiranemu izboljševanju kakovosti in večjemu izkoristku zmogljivost? Če se pri vašem delu ravnate po reku, da možnim izboljšavam ni...",27.1.2021,Gorenjska,optius.com
6198,Mesar (m/ž),28.02.2021,Bohinjska Bistrica,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279456/Mesar-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Mesar (m/ž) v Bohinjski Bistrici.  Vaše delo bo zajemalo: - prodajo mesa in mesnih izdelkov - razkosavanje mesa in pripravo mesnih izdelkov za prodajo - svetovanje kupcem in seznanj...,03.02.2021,Gorenjska,deloglasnik.si
6199,FINANČNO RAČUNOVODSKI DELAVEC V - M/Ž,18. 02. 2021,KRANJ,Socialnovarstveni zavod Taber,https://www.iskanjedela.si/search-jobs?jobId=2652807&RECENCY=3DAYSAGO&STATE=Gorenjska,"-IZDELOVANJE OSNUTKOV ANALIZ, GRADIV, POROČIL IN MNENJ, -OPRAVLJANJE RAZNOVRSTNIH NALOG S PODROČJA ODDAJE JAVNIH NAROČIL, - PRIPRAVLJANJE ANALIZ IN POROČIL S PODROČJA JAVNIH NAROČIL, - VODENJE IN OPRAVLJANJE RAZLIČNIH POSTOPKOV JAVNEGA NAROČANJA, ...",10.02.2021,Gorenjska,iskanjedela.si
6200,Varnostnik z orožjem m/ž za delo na področju intervencije - Velenje,/,Velenje,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-z-orozjem-mz-za-delo-na-podrocju-intervencije-velenje/d-514990,"Kaj pričakujemo: II., III., IV. ali V.  stopnjo šolske izobrazbe, poljubne smeri, zaželen opravljen NPK za varnostnika ali končana srednja šola za poklic Tehnik varovanja,...",1.2.2021,Savinjska,mojedelo.com
6201,Serviser gospodinjskih aparatov na terenu m/ž,2.3.2021,Dolenjska/Primorska,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/serviser-gospodinjskih-aparatov-na-terenu-mz-754999-754999/,/,16.2.2021,Goriška,optius.com
6202,CNC OPERATER - M/Ž,27. 02. 2021,SLOVENJ GRADEC,"ORODJARNA & INŽENIRING ALBA ORODJARSTVO, INŽENIRING IN PROIZVODNJA D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2597700&RECENCY=TODAY&STATE=Koro%C5%A1ka,"REZKANJE NA CNC OBDELOVALNEM STROJU, NASTAVLJANJE IN UPRAVLJANJE CNC STROJA, PREVZEM DOKUMENTACIJE S STRANI CNC PROGRAMERJA, NADZOR IN KONTROLA TEHNOLOŠKEGA POSTOPKA IN CNC PROGRAMA NA CNC STROJU, PREVZEM MATERIALA ZA CNC REZKANJE,... ",19.02.2021,Koroška,iskanjedela.si
6203,Nepremičninski posrednik (m/ž) Celje,/,Celje,Center nepremičninskih posrednikov d.o.o.,https://www.mojedelo.com/nepremicninski-posrednik-mz-celje/d-515071,"Pričakujemo: veljavna licenca oz. NPK nepremičninski posrednik, dobre komunikacijske veščine, izpit B kategorije, ciljna naravnanost, pozitivna miselnost, želja po učenju, osebni in poslovni rasti, zavedanje, da nihče ni uspel sam. ",1.2.2021,Savinjska,mojedelo.com
6204,Delavec v proizvodnji m/ž,13.3.2021,Gorenjska,Delos zaposlovanje d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-mz-754519-754519/,Zaposlimo Delavca v proizvodnji m/ž.,11.2.2021,Gorenjska,optius.com
6205,Proizvodni delavec (m/ž) - Novo mesto,/,Novo mesto,ADECCO H.R. d.o.o.,https://www.mojedelo.com/proizvodni-delavec-mz-novo-mesto/d-514518,"Adecco H.R. d.o.o., vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.",1.2.2021,Zasavska,mojedelo.com
6206,Pismonoša (m/ž),3.3.2021,"Kamnik, in okolica",Workforce d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/pismonosa-mz-753329-753329/,"Uspešno, prepoznavno in vodilno partnersko podjetje, ki izvaja poštne storitve v svoj kolektiv vabi zanesljive in pozitivno naravnane kandidate. Ste komunikativni, nasmejani in odlični v opravljanju nalog? Pohitite s prijavo in se potegujte za mes...",1.2.2021,Osrednjeslovenska,optius.com
6207,Čistilec m/ž,20.2.2021,"Nova Gorica, okolica",Workforce d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/cistilec-mz-752162-752162/,"Naš naročnik je vodilno podjetje na področju vzdrževanja objektov in je po vsej Evropi poznan po kvalitetno opravljenih storitvah. V svoje vrste vabi osebe, ki so pripravljene na večizmenski delovnik in iščejo zaposlitev na dolgi rok. Si želite po...",21.1.2021,Goriška,optius.com
6208,Operater v proizvodnji (m/ž) v Kamniku,26.2.2021,Kamnik,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/operater-v-proizvodnji-mz-v-kamniku-752832-752832/,"Uspešno in ugledno mednarodno podjetje išče okrepitve! Če iščete stabilno zaposlitev, želite razvijati svojo poklicno pot v obetavni industriji, svoje delo pa opravljate natančno in odgovorno, vas vabimo k prijavi. ",27.1.2021,Gorenjska,optius.com
6209,Tehnična podpora v prodaji ,/,Slovenija,Roltek d.o.o.,https://www.mojedelo.com/tehnicna-podpora-v-prodaji/d-514594,"V kolektiv vabimo kadnidata/-ko za TEHNIČNO PODPORO V PRODAJI (M/Ž). Tehnično, natančo, organizirano ter pozitivno osebo, ki rada dela z ljudmi in ima veselje do uspešne prodaje. Če se v oglasu prepoznate, Vas spodbujamo, da se prijavite in posta...",27.1.2021,Zasavska,mojedelo.com
6210,Skladiščno - transportni delavec (m/ž),18.3.2021,Višnja Gora,"Elvez, d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/skladiscno-transportni-delavec-mz-755410-755410/,"V podjetju ELVEZ, d.o.o. (http://www.elvez.si) nas hitra rast in razvoj spodbujata k nenehnemu iskanju novih usposobljenih, kompetentnih in zvestih kadrov. Priložnost za zaposlitev ponujamo tako proizvodnim delavcem kot tudi širokemu naboru tehnič...",19.2.2021,Osrednjeslovenska,optius.com
6211,Arhitekt suradnik m/ž,/,"Malinska, otok Krk",Vitus d.o.o,https://www.zaposlitev.info/delo/arhitekt-suradnik-m-z-2/,"        Izrada i razrada projekata građevina, 3D projektiranje, mjesto rada je otok Krk",12.2.2021,Zasavska,zaposlitev.info
6212,Delavec pri izdelavi estrihov / brusilec industrijskih betonov (m/ž),26.02.2021,Slovenj Gradec,ESTRIHI KENDA brušeno-polirani betoni in industrijski betoni d.o.o.,https://www.deloglasnik.si/Zaposlitev/279089/Delavec-pri-izdelavi-estrihov-brusilec-industrijskih-betonov-mz/,  Izdelava estrihov in brušenih industrijskih betonov.  Število delovnih mest: 2,27.01.2021,Koroška,deloglasnik.si
6213,Referent nabave akcijskih izdelkov (m/ž),3.3.2021,uprava Komenda,Lidl Slovenija d.o.o. k.d.,https://www.optius.com/iskalci/prosta-delovna-mesta/referent-nabave-akcijskih-izdelkov-mz-755215-755215/,/,17.2.2021,Gorenjska,optius.com
6214,DELAVEC NA ODPREMI - M/Ž,24. 02. 2021,SEVNICA,PREIS SEVNICA PROIZVODNJA IN TRGOVINA D.O.O.,https://www.iskanjedela.si/search-jobs?jobId=2652298&RECENCY=3DAYSAGO&STATE=Posavska,"-ČIŠČENJE KOVINSKIH POLIZDELKOV PO BARVANJU, -PAKIRANJE KOVINSKIH POLIZDELKOV IN IZDELKOV, -POPRAVILO POVRŠINSKE ZAŠČITE POLIZDELKOV, -DELA PO NAVODILIH NADREJENEGA. ",09.02.2021,Posavska,iskanjedela.si
6215,Frontend razvijalec m/ž / Frontend developer m/f,/,Avstrija (Diex v kraju Völkermarkt),Mountain-View Data GmbH ,https://www.mojedelo.com/frontend-razvijalec-mz-frontend-developer-mf/d-511804,"As a dynamic company, we are constantly looking for qualified employees who can support us in expanding our financial data services and looking after our customers in the best possible way. We not only offer high-quality products, but also interes...",16.2.2021,Zasavska,mojedelo.com
6216,Monter -vodja,/,Nemčija,"Direkt marketing, Andrej Ljubec s.p.",https://www.mojedelo.com/monter-vodja/d-515312,Vodja manjše skupine vodovodarjev - nabava materiala- komunikacija z naročniki- montaža vodovoda in ogrevanja (poslovne zgradbe),3.2.2021,Tujina,mojedelo.com
6217,Koordinator za razpise (m/ž),/,Ljubljana,genEplanet d.o.o.,https://www.mojedelo.com/koordinator-za-razpise-mz/d-515384,"V naši ekipi se dobro počutijo proaktivne osebe, ki jim ustreza dinamično in mednarodno okolje ter raznolika področja dela. Posamezniki imajo možnost prevzemanja odgovornosti in spoznavanja širšega področja dela. Podjetje hitro raste in se spremin...",3.2.2021,Osrednjeslovenska,mojedelo.com
6218,"DIPL. MEDICINSKA SESTRA V NEGOVALNI ENOTI, E037021 ZA POTREBE ORTOPEDSKE KLINIKE - M/Ž",10. 02. 2021,LJUBLJANA,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,https://www.iskanjedela.si/search-jobs?jobId=2649416&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"- NAČRTOVANJE, IZVAJANJE IN VREDNOTENJE PROCESA ZDRAVSTVENE/BABIŠKE NEGE PACIENTOV V NEGOVALNI ENOTI TER NAČRTOVANJE IN KOORDINIRANJE PREMESTITVE ALI ODPUSTA PACIENTA - ORGANIZIRANJE, VODENJE IN NADZIRANJE DEJAVNOSTI ZDRAVSTVENE/BABIŠKE NEGE IN OS...",04.02.2021,Osrednjeslovenska,iskanjedela.si
6219,Pomožni delavec v proizvodnji in logistiki (m/ž),13.03.2021,Jesenice,"KOVINAR, kovinskopredelovalna industrija, d.o.o., Jesenice",https://www.deloglasnik.si/Zaposlitev/279719/Pomozni-delavec-v-proizvodnji-in-logistiki-mz/,  - priprava žice za vezanje proizvodov - zapenjanje in odpenjanje tovora - pomoč pri transportu surovine - polproizvodov in gotovih proizvodov - pomoč pri nastavljanju in menjavi programa proizvodnih linij za izdelavo proizvodov - pomoč pri dozir...,11.02.2021,Gorenjska,deloglasnik.si
6220,DELAVEC V PROIZVODNJI - M/Ž,30. 01. 2021,KRANJ,"WORKFORCE d.o.o.; WORKFORCE d.o.o., POSLOVNA ENOTA KRANJ",https://www.iskanjedela.si/search-jobs?jobId=2647556&STATE=Osrednjeslovenska,"DELO OB STROJIH ZA PIHANJE IN BRIZGANJE PLASTIKE, KONTROLA KAKOVOSTI IZDELKOV, MENJAVA ORODIJ , POMOČ V SKLADIŠČU, PAKIRANJE, ETIKETIRANJE , IZPOLNJEVANJE USTREZNE DELOVNE DOKUMENTACIJE , OSTALA DELA PO NAVODILIH NADREJENEGA ",22.01.2021,Osrednjeslovenska,iskanjedela.si
6221,ČISTILKA II/ - M/Ž,23. 02. 2021,RIBNICA,OSNOVNA ŠOLA DR. IVANA PRIJATELJA SODRAŽICA,https://www.iskanjedela.si/search-jobs?jobId=2655967&RECENCY=TODAY&STATE=Jugovzhodna%20Slovenija,ČIŠČENJE PROSTOROV ŠOLE V POPOLDANSKEM ČASU ,18.02.2021,Jugovzhodna Slovenija,iskanjedela.si
6222,PRODAJALKA/PRODAJALEC - M/Ž,29. 01. 2021,LJUBLJANA,"HN CONSULTING, trgovina in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2646600&STATE=Savinjska,"DELOVNO MESTO V TRGOVINI S KOZMETIČNIMI IZDELKI (ZANJO, ZANJ, ZA DOM). ",21.01.2021,Savinjska,iskanjedela.si
6223,"ZDRAVSTVENI ADMINISTRATOR V (I) (J025023) ZA POTREBE UKC LJBULJANA, INTERNA KLINIKA, KO ZA NEFROLOGIJO - M/Ž",10. 02. 2021,LJUBLJANA,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,https://www.iskanjedela.si/search-jobs?jobId=2651503&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"- SAMOSTOJNO SPREJEMANJE, VPISOVANJE, NAROČANJE IN INFORMIRANJE TAKO PACIENTOV, KOT TUDI KOMUNIKACIJA V MULTIDISCIPLINARNEM TIMU TER Z DRUGIMI ZUNANJIMI INSTITUCIJAMI V OKVIRU USPOSOBLJENOSTI ZA DELO NA VEČ DELOVIŠČIH: HOSPITAL, AMBULANTNA DEJAVNO...",04.02.2021,Osrednjeslovenska,iskanjedela.si
6224,Čistilec / Čistilka / Sobar / Sobarica,17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279848/Cistilec-Cistilka-Sobar-Sobarica/,"  - čiščenje in pospravljanje ter urejanje hotelskih sob, hodnikov, konferenčnih dvoran, poslovnih prostorov, sanitarij in drugih skupnih prostorov,  - čiščenje in vzdrževanje čistoče v garderobah - čiščenje in vzdrževanje čistoče pri tuših - čišč...",15.02.2021,Pomurska,deloglasnik.si
6225,Delavec v proizvodnji ROTO Černelavci pri Murski Soboti (m/ž),/,Černelavci pri Murski Soboti,ROTO - PAVLINJEK d.o.o.,https://www.mojedelo.com/delavec-v-proizvodnji-roto-cernelavci-pri-murski-soboti-mz/d-516991,"Delo obsega krmiljenje stroja za plastiko, manipulacija z izdelki in orodji, vizualna kontrola izdelkov, občasna dodelava izdelkov in pakiranje.",19.02.2021,Pomurska,mojedelo.com
6226,Referent v računovodstvu (m/ž),/,Obala,WORKFORCE d.o.o. ,https://www.mojedelo.com/referent-v-racunovodstvu-mz/d-515675,"Naš naročnik je manjše podjetje, ki ima dolgoletno tradicijo v proizvodnji dejavnosti. V svoj kolektiv vabim motivirano in zanesljivo osebo, ki lahko s svojim znanjem doprinese k nadaljnemu uspešnemu poslovanju in razvoju podjetja. ",5.2.2021,Obalno-kraška,mojedelo.com
6227,Skladiščnik m/ž,/,Anhovo,"Salonit Anhovo, d.d.",https://www.mojedelo.com/skladiscnik-mz/d-516303,"Pričakujemo: IV. stopnja izobrazbe, izkušnje na sorodnih delovnih mestih, vozniški izpit B kategorije, zaželen izpit za viličarja, usposobljenost za delo z računalnikom (Office, elektronska pošta).",15.2.2021,Goriška,mojedelo.com
6228,POMOŽNI DELAVEC (KANTNI ODVOZ) - M/Ž,26. 02. 2021,ZAGORJE OB SAVI,"JAVNO PODJETJE KOMUNALA ZAGORJE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2655916&RECENCY=TODAY&STATE=Zasavska,"PRIPRAVA POSOD S KOMUNALNIMI ODPADKI NA ODVZEMNA MESTA, STROJNO IN ROČNO PRAZNJENJE POSOD V SMETARSKO VOZILO, VRAČANJE POSOD NA ODVZEMNO MESTO, ČIŠČENJE MESTA IZPRAZNJEVANJA POSOD, SIGNALIZIRANJE VOZNIKU, PRAZNJENJE SMETARSKEGA VOZILA IN ČIŠČENJE,...",18.02.2021,Zasavska,iskanjedela.si
6229,SRENJA MEDICINSKA SESTRA II (ZDRAVSTVENI TEHNIK) - PRIPRAVNIK - M/Ž,26. 02. 2021,ŠMARJE PRI JELŠAH,DOM UPOKOJENCEV ŠMARJE PRI JELŠAH,https://www.iskanjedela.si/search-jobs?jobId=2640076&RECENCY=TODAY&STATE=Savinjska,"POMOČ PRI IZVAJANJU ZDRAVSTVENE NEGE IN VARSTVA STANOVALCEV, NUDENJE MEDICINSKE POMOČI, PRIPRAVA IN DELITEV PREDPISANE TERAPIJE, UREJANJE MEDICINSKIH PRIPOMOČKOV, VODENJE ZDRAVSTVENIH EVIDENC, IZVAJANJE DEL IN NALOG V SKLADU Z DELOVNIM PLANOM USTA...",19.02.2021,Savinjska,iskanjedela.si
6230,Poslovni svetovalec za področje Carine,/,Koper,Actual I.T. d. d.,https://www.mojedelo.com/poslovni-svetovalec-za-podrocje-carine/d-516893,"Ključne odgovornosti: analiza sistemov in zajem uporabniških zahtev, načrtovanje poslovnih rešitev, sodelovanje z razvojno ekipo,...",18.02.2021,Obalno-kraška,mojedelo.com
6231,Avtoličar m/ž,/,Trbovlje,Ekoen avto d.o.o.,https://www.zaposlitev.info/delo/avtolicar-m-z/,,03.2.2021,Zasavska,zaposlitev.info
6232,FRIZER - M/Ž,18. 02. 2021,RAVNE NA KOROŠKEM,"BUUS, frizerski in kozmetični salon, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2653533&RECENCY=3DAYSAGO&STATE=Koro%C5%A1ka,"moško, žensko striženje, barvanje las, ondulacije, sprejem strank, uporaba blagajne, vzdrževanje higiene, tako osebne, kot v salonu, izdaja darilnih bonov ",11.02.2021,Koroška,iskanjedela.si
6233,Ključavničar (m/ž),24.02.2021,Maribor,"TETREB, proizvodnja in postavljanje konstrukcij, instalacije in druge storive, d.o.o.",https://www.deloglasnik.si/Zaposlitev/278923/Kljucavnicar-mz/,  Ključavničarska dela.  Število delovnih mest: 10,25.01.2021,Podravska,deloglasnik.si
6234,DELAVEC ZA RAZREZ NA PLAZMI - M/Ž,18. 02. 2021,RADOVLJICA,"KOVINSKA BLED, KOVINSKO PREDELOVALNE STORITVE, D.D.",https://www.iskanjedela.si/search-jobs?jobId=2652826&RECENCY=3DAYSAGO&STATE=Gorenjska,"IZKUŠNJE PRI CNC PLAZEMSKEM RAZREZU PLOČEVINE, DELO Z AUTOCADOM ALI PODOBNIMI PROGRAMI, MANIPULACIJA Z MATERIALOM ",10.02.2021,Gorenjska,iskanjedela.si
6235,PODROČNI SVETOVALEC I - M/Ž,15. 02. 2021,MARIBOR,Regionalna razvojna agencija za Podravje - Maribor,https://www.iskanjedela.si/search-jobs?jobId=2651435&RECENCY=3DAYSAGO&STATE=Podravska,"PRIPRAVA, VODENJE IN IZVAJANJE PROJEKTOV, SODELOVANJE V DELOVNIH TELESIH, ODBORIH IN PROJEKTNIH SKUPINAH, OBLIKOVANJE SISTEMSKIH REŠITEV, PRIPRAVA ANALIZ, INFORMACIJ, POROČIL IN DRUGIH GRADIV, POZNAVANJE ZAKONODAJE ZA DODELJENO PODROČJE, IZVAJANJE...",04.02.2021,Podravska,iskanjedela.si
6236,STROJNI MEHANIK - M/Ž,01. 03. 2021,MURSKA SOBOTA,"ŽALIK, strojno ključavničarstvo d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2656465&RECENCY=TODAY&STATE=Pomurska,"rezanje, brušenje,sestavljanje ter ostala dela ",19.02.2021,Pomurska,iskanjedela.si
6237,KUHAR IV - M/Ž,29. 01. 2021,POSTOJNA,OSNOVNA ŠOLA PRESTRANEK,https://www.iskanjedela.si/search-jobs?jobId=2648039&STATE=Primorsko-notranjska,"DNEVNO PRIPRAVLJA OBROKE PO PROGRAMU IN POSEBNE OBROKE PO NAVODILIH ORGANIZATORJA ŠOLSKE PREHRANE ALI VODSTVA, IZDAJA HRANO ZA UČENCE IN DELAVCE ZAVODA TER DRUGE NAROČNIKE, VODI EVIDENCO IZDANIH OBROKOV IN JO POSREDUJE ORGANIZATORJU ŠOLSKE PREHRAN...",26.01.2021,Primorsko-notranjska,iskanjedela.si
6238,Vodja kadrovske službe (m/ž),7.3.2021,Medvode ali po dogovoru ,PJU d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-kadrovske-sluzbe-mz-753863-753863/,"V mlado ekipo spletne trgovine Kupi Hitro vabimo novo osebo na pozicijo vodja kadrovske službe. Podjetje je prisotno na 10 evropskih trgih in dosega eksponentno rast, zato iščemo nekoga, ki ga zanima dinamičnost mladega rastočega posla in vseh kad...",5.2.2021,Gorenjska,optius.com
6239,Prodajalec/specialist za kolesarski sortiment m/ž,/,Maribor,Hervis Sport in Moda d.o.o.,https://www.mojedelo.com/prodajalecspecialist-za-kolesarski-sortiment-mz/d-515262,"Pričakujemo: poglobljeno poznavanje koles in kolesarskega trga, V. stopnja izobrazbe, računalniška pismenost, vestnost, strokovnost, natančnost, komunikativnost, vsaj 1 leto delovnih izkušenj v prodaji, aktiven življenjski slog in ljubezen do športa.",2.2.2021,Podravska,mojedelo.com
6240,"AVTOMEHANIK,MEHATRONIK,SERVISER - M/Ž",07. 03. 2021,ŽALEC,"AIDA SPECIALIST, proizvodnja, trgovina in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2651819&RECENCY=3DAYSAGO&STATE=Savinjska,"SERVISIRANJE VOZIL,POPRAVILO VOZIL ",05.02.2021,Savinjska,iskanjedela.si
6241,MONTER - M/Ž,24. 02. 2021,CERKNICA,"INOVATEH, RAZVOJ OKOLJU PRIJAZNIH TEHNOLOGIJ IN PROIZVODOV d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2656194&RECENCY=TODAY&STATE=Primorsko-notranjska,VGRADNJA VODOVODNIH IN OGREVALNIH INŠTALACIJ. ,19.02.2021,Primorsko-notranjska,iskanjedela.si
6242,Pomočnik pri prodaji vozil (m/ž),21.03.2021,Velenje,"AVTO SCENA, TRGOVINA, POSREDNIŠTVO IN STORITVE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/280136/Pomocnik-pri-prodaji-vozil-mz/,"  Pranje vozil, terensko delo, pomoč pri prodaji.",19.02.2021,Savinjska,deloglasnik.si
6243,Referent v računovodstvu (m/ž),19.2.2021,Kranj,LE-TEHNIKA d.o.o. Kranj,https://www.optius.com/iskalci/prosta-delovna-mesta/referent-v-racunovodstvu-mz-754147-754147/,"Le-tehnika d.o.o. je zasebno podjetje. Osnovna dejavnost je od vsega začetka proizvodnja in prodaja izdelkov za telefonijo, kasneje pa smo priključili še druge - proizvodnja hidravličnih elementov in naprav, razvoj in proizvodnja specialnih krioge...",9.2.2021,Gorenjska,optius.com
6244,Senior Key Account Manager Customer Support  » Microscopy and Material Science« (skrbnik ključnih kupcev na področju znanosti o materialih),/,Ljubljana,Labena d.o.o.,https://www.mojedelo.com/senior-key-account-manager-customer-support-microscopy-and-material-science-skrbnik-kljucnih-kupcev-na-podrocju-znanosti-o-materialih/d-515986,"Opis dela: aplikativna in tehnična podpora na področju mikroskopije in Material Science. Cilj: doseči zadovoljivo tehnično in aplikativno podporo kupcem, izobraževanje zaposlenih znotraj regije...",11.2.2021,Osrednjeslovenska,mojedelo.com
6245,NATAKAR-ICA - M/Ž,06. 03. 2021,LJUBLJANA,"IDORO, gostinske storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2656193&RECENCY=TODAY&STATE=Osrednjeslovenska,"STREŽBA TOPLIH IN HLADNIH NAPITKOV, STREŽBA MALIC, SKRB ZA RED IN ĆISTOČO NA DELOVNEM MESTU, IZDAJANJE RAČUNOV, SPREJEMANJE IN KONTROLA BLAGA ",19.02.2021,Osrednjeslovenska,iskanjedela.si
6246,Tesar (m/ž),21.03.2021,Lendava,"EKOING GRADBENI INŽENIRING, d.o.o.",https://www.deloglasnik.si/Zaposlitev/280077/Tesar-mz/,  Vsa dela tesarja.,18.02.2021,Pomurska,deloglasnik.si
6247,Kadrovik m/ž,/,Ljubljana,Data d.o.o.,https://www.zaposlitev.info/delo/kadrovik-m-z/,"         	Načrtovanje in izvajanje kadrovske politike v skladu s strateškimi cilji podjetja iskanje kadra, 	izvedba postopkov izbora kandidatov, 	načrtovanje sistema izobraževanja in razvoja kadrov, 	priprava predlogov za napredovanje zaposlenih;",11.2.2021,Osrednjeslovenska,zaposlitev.info
6248,Skladiščnik (m/ž),/,Izola,Sanofarm d.o.o.,https://www.mojedelo.com/skladiscnik-mz/d-516560,"Opis nalog za katere bo odgovoren/-na: prevzemanje, skladiščenje in izdajanje izdelkov iz skladišča, pripravljanje, vodenje in urejanje spremljajoče dokumentacije, organizacija transporta pošiljk in raztovora izdelkov, priprava izdelkov za prodajo...",16.2.2021,Primorsko-notranjska,mojedelo.com
6249,POSEBNI JAVNI NATEČAJ ZA POLOŽAJ GENERALNEGA DIREKTORJA AGENCIJE REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA - M/Ž,26. 02. 2021,LJUBLJANA,"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA",https://www.iskanjedela.si/search-jobs?jobId=2653418&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"ODLOČANJE O STROKOVNIH, RAZVOJNIH IN DRUGIH KLJUČNIH NALOGAH TER UKREPIH NA DELOVNEM PODROČJU AGENCIJE, ODLOČANJE V NAJZAHTEVNEJŠIH UPRAVNIH POSTOPKIH, SAMOSTOJNO OBLIKOVANJE KLJUČNIH SISTEMSKIH REŠITEV IN DRUGIH NAJZAHTEVNEJŠIH GRADIV, ORGANIZIRA...",11.02.2021,Osrednjeslovenska,iskanjedela.si
6250,DELOVODJA GRADBENIŠTVA - M/Ž,25. 02. 2021,PTUJ,"COOLGRADING, gradnje, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2648303&STATE=Podravska,"VODENJE GRADBIŠČNE DOKUMENTACIJE, VODENJE DELOVNEGA PROCESA, KOMUNIKACIJA S PODIZVAJALCI NA GRADBIŠČU ",26.01.2021,Podravska,iskanjedela.si
6251,Orodjar na štancah (m/ž),/,Lipnica (Kropa),Personal center d.o.o.,https://www.mojedelo.com/orodjar-na-stancah-mz/d-515524,"Če si želite zanesljive zaposlitve v teh kriznih časih, se čimprej prijavite! Za podjetje s 60-letnimi izkušnjami na področjih finomehanike, elektromehanike in elektronike, iščemo izkušene kandidate za delo v Lipnici (Kropa).",4.2.2021,Gorenjska,mojedelo.com
6252,SREDNJA MEDICINSKA SESTRA I - M/Ž,13. 02. 2021,PTUJ,DOM UPOKOJENCEV PTUJ,https://www.iskanjedela.si/search-jobs?jobId=2652026&RECENCY=3DAYSAGO&STATE=Obalno-kra%C5%A1ka,"NAČRTOVANJE, PRIPRAVLJANJE ZDRAVSTVENE NEGE STANOVALCA V RAZLIČNIH STANJIH ZDRAVJA IN BOLEZNI; POMOČ PACIENTU PRI IZVAJANJU DNEVNIH ŽIVLJENJSKIH AKTIVNOSTI; PRIPRAVA NA DIAGNOSTIČNE IN TERAPEVTSKE POSEGE IN POSTOPKE; IZVEDBA ENOSTAVNIH DIAGNOSTIČN...",05.02.2021,Obalno-kraška,iskanjedela.si
6253,Livarski tehnolog,/,Žalec,OMCO Metals Slovenia d.o.o.,https://www.mojedelo.com/livarski-tehnolog/d-514810,"Pričakujemo:  VI. Stopnjo izobrazbe; smer strojništvo, metalurgija ali druga ustrezna; aktivno znanje angleščine; branje načrtov in projektne dokumentacije;  natančnost, samostojnost in zanesljivost pri delu; odgovoren odnos do dela.",28.1.2021,Savinjska,mojedelo.com
6254,Prodajalec - svetovalec v tehnični trgovini (m/ž),20.3.2021,Maribor,Seltron d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-svetovalec-v-tehnicni-trgovini-mz-755330-755330/,/,18.2.2021,Podravska,optius.com
