Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Upravljalec strojev (m/ž),5.3.2021,Škofja Loka,FILC d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/upravljalec-strojev-mz-755327-755327/,"Smo podjetje z 80. letno tradicijo, specializirano za proizvodnjo in razvoj klasičnega in z vrhunsko tehnologijo obdelanega netkanega tekstila ter večplastnih tekstilij za avtomobilsko, gradbeno, čevljarsko in pohištveno industrijo.Zaradi širitve ...",18.2.2021,Gorenjska,optius.com
Mesar (m/ž) - Bled,20.3.2021,Bled,ESPADA d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/mesar-mz-bled-755322-755322/,"Podjetje ESPADA je kadrovska agencija, ki se ukvarja z iskanjem in zagotavljanjem kakovostnega kadra za potrebe delodajalcev.",18.2.2021,Gorenjska,optius.com
Mesar (m/ž) - Bohinjska Bistrica,20.3.2021,Bohinjska Bistrica,ESPADA d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/mesar-mz-bohinjska-bistrica-755320-755320/,"Podjetje ESPADA je kadrovska agencija, ki se ukvarja z iskanjem in zagotavljanjem kakovostnega kadra za potrebe delodajalcev.",18.2.2021,Gorenjska,optius.com
Mesar (m/ž) - Kranj,20.3.2021,Kranj,ESPADA d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/mesar-mz-kranj-755319-755319/,"Podjetje ESPADA je kadrovska agencija, ki se ukvarja z iskanjem in zagotavljanjem kakovostnega kadra za potrebe delodajalcev.",18.2.2021,Gorenjska,optius.com
Proizvodni tehnolog m/ž,20.3.2021,Komenda,KataleaConsulting d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/proizvodni-tehnolog-mz-755257-755257/,"KataleaConsulting d.o.o. je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Si v življenju želite novi...",18.2.2021,Gorenjska,optius.com
Nabavnik (m/ž),20.3.2021,Komenda,KataleaConsulting d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/nabavnik-mz-755259-755259/,"Podjetje, s katerim sodelujemo, je locirano v okolici Ljubljane, ima dolgoletno tradicijo in je mednarodno priznano podjetje.",18.2.2021,Gorenjska,optius.com
Gozdni delavec  - sekač m/ž,20.3.2021,tujina in teren po Sloveniji,MANPOWER d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/gozdni-delavec-sekac-mz-755359-755359/,"Podjetje z dolgoletno tradicijo med svoje vrste vabi kandidate za delovno mesto ""Gozdni delavec - sekač"" m/ž.",18.2.2021,Gorenjska,optius.com
Serviser gozdarske mehanizacije m/ž,20.3.2021,"Bled, občasen teren v tujini",MANPOWER d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/serviser-gozdarske-mehanizacije-mz-755362-755362/,"Za našega naročnika, sodobno gozdarsko podjetje, iščemo serviserja gozdne mehanizacije m/ž.",18.2.2021,Gorenjska,optius.com
Lažja dela v proizvodnji m/ž,20.3.2021,Zgornji Brnik,MANPOWER d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/lazja-dela-v-proizvodnji-mz-755385-755385/,Super priložnost! Za uspešno mednarodno podjetje iščemo več proizvodnih delavcev/k na Gorenjskem . Možnost takojšnjega pričetka dela.,18.2.2021,Gorenjska,optius.com
Referent nabave akcijskih izdelkov (m/ž),3.3.2021,uprava Komenda,Lidl Slovenija d.o.o. k.d.,https://www.optius.com/iskalci/prosta-delovna-mesta/referent-nabave-akcijskih-izdelkov-mz-755215-755215/,/,17.2.2021,Gorenjska,optius.com
