Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Mesar (m/ž),28.02.2021,Bohinjska Bistrica,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279456/Mesar-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Mesar (m/ž) v Bohinjski Bistrici.  Vaše delo bo zajemalo: - prodajo mesa in mesnih izdelkov - razkosavanje mesa in pripravo mesnih izdelkov za prodajo - svetovanje kupcem in seznanj...,03.02.2021,Gorenjska,deloglasnik.si
Mesar (m/ž),28.02.2021,Žabja vas,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279455/Mesar-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Mesar (m/ž) v Žabji vasi.  Vaše delo bo zajemalo: - prodajo mesa in mesnih izdelkov - razkosavanje mesa in pripravo mesnih izdelkov za prodajo - svetovanje kupcem in seznanjanje z n...,03.02.2021,Gorenjska,deloglasnik.si
Mesar (m/ž),28.02.2021,Tržič,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279454/Mesar-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Mesar (m/ž) v Tržiču.  Vaše delo bo zajemalo: - prodajo mesa in mesnih izdelkov - razkosavanje mesa in pripravo mesnih izdelkov za prodajo - svetovanje kupcem in seznanjanje z novos...,03.02.2021,Gorenjska,deloglasnik.si
Prodajalec (m/ž),28.02.2021,"Gorenja vas, Žiri",Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279349/Prodajalec-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Prodajalec (m/ž) v Gorenji vasi in Žireh.  Vaše delo bo zajemalo:  - prodajo blaga - svetovanje kupcem o prodajnih artiklih in možnostih plačila - opravljanje blagajniškega poslovan...,03.02.2021,Gorenjska,deloglasnik.si
Prodajalec (m/ž),28.02.2021,Kranj,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279338/Prodajalec-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Prodajalec (m/ž) v Kranju in okolici.  Vaše delo bo zajemalo:  - prodajo blaga - svetovanje kupcem o prodajnih artiklih in možnostih plačila - opravljanje blagajniškega poslovanja i...,03.02.2021,Gorenjska,deloglasnik.si
Prodajalec (m/ž),28.02.2021,Škofja Loka,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/279337/Prodajalec-mz/,  K sodelovanju vabimo nove sodelavce za delo na delovnem mestu:  Prodajalec (m/ž) v Škofji Loki z okolico.  Vaše delo bo zajemalo:  - prodajo blaga - svetovanje kupcem o prodajnih artiklih in možnostih plačila - opravljanje blagajniškega poslovan...,03.02.2021,Gorenjska,deloglasnik.si
CAD Konstrukter (m/ž),03.03.2021,Bled,4-N Tech d.o.o.,https://www.deloglasnik.si/Zaposlitev/279235/CAD-Konstrukter-mz/,"  Naši poslovni partnerji so vodilna podjetja v svojih branžah, zato za uspešnost na svetovnem trgu, vabimo k sodelovanju sodelavca za delo:   CAD Konstrukter (m/ž).  Vaše delo bo: - izdelava konstrukcijskih načrtov - interpelacija tehničnih risb ...",01.02.2021,Gorenjska,deloglasnik.si
Voznik tovornega vozila v mednarodnem transportu (m/ž),25.02.2021,Kranj,DACAR transportne storitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/278963/Voznik-tovornega-vozila-v-mednarodnem-transportu-mz/,/,26.01.2021,Gorenjska,deloglasnik.si
Samostojni krovec za delo na strehi (m/ž),20.02.2021,Škofja Loka,"STREHA MLAKAR, trgovina in storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/278782/Samostojni-krovec-za-delo-na-strehi-mz/,  Zaposlimo samostojnega krovca/kleparja/pomožnega delavca za delo na strehi.  Delo poteka po Sloveniji.,21.01.2021,Gorenjska,deloglasnik.si
Ročni orodjar (m/ž),28.02.2021,"Železniki, Reteče, Trata","Domel, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279800/Rocni-orodjar-mz/,  - ročna obdelava in poliranje sestavnih delov orodij - samostojna sestava orodij in priprav - vzdrževanje orodij in priprav - priprava in pregled orodja pred pričetkom serijske proizvodnje ali preizkusom orodja - sodelovanje pri izvedbi preizkus...,12.02.2021,Gorenjska,deloglasnik.si
